編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPPNMLQKKHKGFAM58DB,坡道平面,1800000,22.62,地下二樓
RPPNMLQLKHKGFBM68CB,坡道平面,1600000,33.54,地下三樓
RPPNMLNJLHKGFCM38CB,坡道平面,1400000,29.22,地下二樓
RPQNMLPJLHKGFBM58CB,坡道平面,1300000,48.71,地下二樓
RPQNMLPJLHKGFBM58CB,坡道平面,1300000,48.71,地下二樓
RPPNMLRJLHKGFBM68CB,坡道平面,1750000,33.54,地下三樓
RPPNMLPJLHKGFDM68CB,坡道平面,1000000,28.18,地下一樓
RPPNMLPJLHKGFBM48CB,坡道平面,1300000,48.71,地下二樓
RPQNMLRJLHKGFBM78CB,坡道平面,1600000,33.54,地下三樓
RPRNMLRJLHKGFBM88CB,坡道平面,1600000,33.54,地下三樓
RPPNMLLKLHKGFBM18CB,坡道平面,1100000,36.45,地下二樓
RPQNMLMKLHKGFCM48CB,坡道平面,1500000,29.22,地下二樓
RPQNMLOKLHKGFBM68DB,一樓平面,300000,14.00,一樓
RPQNMLLKLHKGFBM28CB,坡道平面,1100000,36.45,地下二樓
RPPNMLMKLHKGFCM38CB,一樓平面,0,,一樓
RPPNMLRKLHKGFCM88CB,坡道平面,1700000,26.00,地下一樓
RPPNMLTKLHKGFDM56CB,坡道平面,1100000,25.89,地下一樓
RPQNMLTKLHKGFDM66CB,坡道平面,1250000,25.89,地下一樓
RPRNMLKLLHKGFBM38CB,坡道平面,1250000,39.79,地下一樓
RPPNMLKLLHKGFBM18CB,坡道平面,1200000,36.45,地下二樓
RPQNMLKLLHKGFBM28CB,坡道平面,1350000,44.76,地下一樓
RPSNMLKLLHKGFBM48CB,坡道平面,1250000,36.45,地下一樓
RPTNMLKLLHKGFBM58CB,坡道平面,1100000,36.45,地下二樓
RPXNMLKLLHKGFBM98CB,坡道平面,1100000,36.45,地下二樓
RPROMLKLLHKGFBM48CB,坡道平面,1250000,36.45,一樓
RPVNMLKLLHKGFBM78CB,坡道平面,1250000,36.45,地下一樓
RPOOMLKLLHKGFBM18CB,坡道平面,1250000,36.45,地下一樓
RPUNMLKLLHKGFBM68CB,坡道平面,1250000,36.45,地下一樓
