編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLQJOHKGFCP66DA,貓兒干段,2483.00,非都市：特定農業區 ; 非都市編定：農牧用地,3683,2483,持分移轉,18530000
RPQNMLTJOHKGFFP37DA,普令厝段,4399.00,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,15740000
RPRNMLTJOHKGFFP47DA,普令厝段,2075.00,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,15070000
RPRNMLQJNHKGFEP96DA,溪墘段,234.42,非都市：鄉村區 ; 非都市編定：乙種建築用地,24,2,持分移轉,02420000
RPOOMLOJOHKGFEP66DA,仁和段,25.04,都市：其他:道路用地,1,1,全筆移轉,06810001
RPTNMLSJNHKGFFP47DA,海口段,61.50,都市：其他:住宅區,4,2,持分移轉,03600080
RPPNMLOJOHKGFCP09DA,五塊厝段,13.68,非都市：鄉村區 ; 非都市編定：水利用地,112,4,持分移轉,01530007
RPPNMLSJNHKGFDP96EA,五間段,44.25,都市：其他:住宅區,1,1,全筆移轉,04900008
RPQNMLQJNHKGFEP86DA,山茂段,1277.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,06210000
RPQNMLQJNHKGFEP86DA,山茂段,3477.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,06270002
RPQNMLMKNHKGFBP98EA,新安段,904.14,非都市：特定農業區 ; 非都市編定：農牧用地,3,1,持分移轉,13980000
RPQNMLMKNHKGFBP98EA,新安段,812.32,非都市：特定農業區 ; 非都市編定：農牧用地,3,1,持分移轉,13990000
RPPNMLSJNHKGFBP76EA,新安段,812.32,非都市：特定農業區 ; 非都市編定：農牧用地,3,1,持分移轉,13990000
RPPNMLTJNHKGFFP17DA,崙中段,143.99,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,10550000
RPPNMLTJNHKGFFP17DA,崙中段,133.88,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,10830000
RPPOMLRJNHKGFAP56DA,後庄段,12.15,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,15240012
RPXNMLRJNHKGFAP27DA,後庄段,6.08,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,15240002
RPOOMLRJNHKGFAP09DA,後庄段,12.03,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,15240010
RPQOMLRJNHKGFAP66DA,後庄段,12.10,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,15240011
RPROMLTJNHKGFEP37DA,北安段,11.71,非都市：鄉村區 ; 非都市編定：乙種建築用地,6,1,持分移轉,15690000
RPROMLTJNHKGFEP37DA,北安段,243.23,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,63861,持分移轉,15690001
RPROMLTJNHKGFEP37DA,北安段,7.62,非都市：鄉村區 ; 非都市編定：乙種建築用地,8,1,持分移轉,15700000
RPPNMLMKNHKGFBP78DA,興國段,94.00,都市：其他:第二種住宅區,1,1,全筆移轉,11260000
RPQNMLMKNHKGFAP78DA,八德段,119.81,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,09030000
RPPNMLTJNHKGFDP96DA,光復段,1860.00,都市：其他:農業區,1,1,全筆移轉,09020000
RPUNMLMKNHKGFEP96DA,鹿北段,89.40,非都市：鄉村區 ; 非都市編定：乙種建築用地,12,1,持分移轉,06800000
RPPNMLQKNHKGFEP86DA,蕃薯段,432.50,非都市：特定農業區 ; 非都市編定：農牧用地,48,5,持分移轉,21220000
RPPNMLQKNHKGFBP66EA,興國段,59.00,都市：其他:道路用地,1,1,全筆移轉,07180000
