編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLQJOHKGFFT47EA,隆安段,4311.89,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,06470000
RPQNMLQJOHKGFBT07DA,永春段,19.00,都市：其他:道路用地,4,1,持分移轉,07150000
RPQNMLQJOHKGFBT07DA,永春段,133.33,都市：其他:商業區,3,1,持分移轉,07160000
RPQNMLMKNHKGFET96DA,牡丹段,10962.00,非都市：山坡地保育區 ; 非都市編定：林業用地,1,1,全筆移轉,03770018
RPQNMLTJNHKGFCT37DA,文樂段,40.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,10100000
RPQNMLTJNHKGFCT37DA,丹林段,525.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,2,1,持分移轉,17580000
RPPNMLQJNHKGFCT96DA,新展段,224.62,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,13970004
RPUNMLMKNHKGFCT17DA,佳佐段,145.60,非都市：鄉村區 ; 非都市編定：乙種建築用地,5,1,持分移轉,09080024
RPPNMLNJNHKGFCT66DA,比悠瑪段,6924.46,非都市：森林區 ; 非都市編定：國土保安用地,1,1,全筆移轉,00320144
RPVNMLNKNHKGFBT27DA,幸福段,74.09,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,00840000
RPVNMLMKNHKGFDT37DA,東新段,43.65,都市：其他:住宅區,85770,426,持分移轉,11640000
RPWNMLNKNHKGFCT47DA,美和段,221.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,12690001
RPUNMLOKNHKGFCT37DA,豐田段,37.75,都市：其他:道路用地,1,1,全筆移轉,06100004
RPUNMLMKNHKGFFT47DA,歸崇段,9580.00,非都市：山坡地保育區 ; 非都市編定：林業用地,1,1,全筆移轉,08470000
RPQNMLNKNHKGFAT76EA,崙頂段,115.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,21740000
RPQNMLMKNHKGFFT07DA,凱地段,560.08,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,03510000
RPRNMLPKNHKGFBT07DA,新日段,2431.06,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,13960000
RPPNMLTJNHKGFBT27EA,新日段,3213.91,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,14640000
RPQNMLQKNHKGFBT07DA,南興段,39.50,都市：農,4,1,持分移轉,07190000
RPUNMLPKNHKGFCT47DA,林後段,383.04,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,00840000
RPUNMLPKNHKGFCT47DA,林後段,314.32,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,00850000
RPSNMLMKNHKGFFT27DA,久雅住段,5000.00,非都市：森林區 ; 非都市編定：林業用地,1,1,全筆移轉,00110077
RPRNMLQKNHKGFAT07DA,正安段,4.64,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,02370000
RPRNMLQKNHKGFAT07DA,正安段,66.90,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,02380000
RPWNMLPKNHKGFAT47DA,進興段,7272.35,都市：其他:住宅區,1,1,全筆移轉,00720001
RPWNMLPKNHKGFAT47DA,進興段,89.57,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,06600000
RPWNMLPKNHKGFAT47DA,進興段,2805.12,都市：其他:住宅區,1,1,全筆移轉,06610001
RPRNMLNKNHKGFDT07DA,興厝段,1486.54,都市：其他:農業區,10,3,持分移轉,10760000
RPRNMLNKNHKGFDT07DA,興厝段,39.81,都市：其他:農業區,1,1,全筆移轉,10770000
RPPNMLOKNHKGFET07DA,花海段,4.88,都市：其他:道路用地,7,1,持分移轉,09650000
RPTNMLQKNHKGFCT47DA,五魁段,26.12,都市：其他:住宅區,10000,139,持分移轉,05340000
RPVNMLQKNHKGFCT67DA,新田段,107.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,19280001
RPVNMLQKNHKGFCT67DA,新田段,48.50,非都市：鄉村區 ; 非都市編定：乙種建築用地,2,1,持分移轉,19280004
RPVNMLQKNHKGFCT67DA,新田段,90.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,2,1,持分移轉,19280005
RPVNMLQKNHKGFCT67DA,新田段,112.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,19280006
RPPOMLPKNHKGFAT86DA,勝興段,7.91,都市：其他:住宅區,100000,20,持分移轉,00580000
RPSNMLTKNHKGFCT77EA,糞箕湖段,355.00,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,02240082
RPQNMLOKNHKGFDT07DA,鎮安段,40.46,非都市：鄉村區 ; 非都市編定：交通用地,2,1,持分移轉,02720000
RPQNMLOKNHKGFDT07DA,鎮安段,264.52,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,02810001
