季度,房價(元/坪),租金(元/坪),物價指數,臺北市_房價,臺中市_房價,基隆市_房價,臺南市_房價,高雄市_房價,新北市_房價,宜蘭縣_房價,桃園市_房價,嘉義市_房價,新竹縣_房價,苗栗縣_房價,南投縣_房價,彰化縣_房價,新竹市_房價,雲林縣_房價,嘉義縣_房價,屏東縣_房價,花蓮縣_房價,臺東縣_房價,金門_房價,澎湖縣_房價,臺北市_租金,臺中市_租金,基隆市_租金,臺南市_租金,高雄市_租金,新北市_租金,宜蘭縣_租金,桃園市_租金,嘉義市_租金,新竹縣_租金,苗栗縣_租金,南投縣_租金,彰化縣_租金,新竹市_租金,雲林縣_租金,嘉義縣_租金,屏東縣_租金,花蓮縣_租金,臺東縣_租金,金門_租金,澎湖縣_租金
105Q1,240299,750,95.07,610413,203750,145116,142578,166055,323237,196769,198217,126018,183997,137519,122392,140374,209057,111558,103616,108620,160555,114838,195696,123269,1689,655,394,587,701,716,461,596,373,518,396,312,521,909,285,279,476,395,628,790,429
105Q2,222266,730,95.47,611620,192844,144910,136912,163609,317577,164572,176146,121777,185190,133522,123377,141598,188422,104345,95268,109787,149632,156262,210733,155673,1450,678,547,627,639,734,542,598,355,574,460,446,562,812,283,262,436,440,707,790,429
105Q3,230110,730,95.91,601347,196265,168658,138378,169255,320204,169553,177555,130966,183090,132712,126956,137786,217336,106055,90086,108065,174456,122473,201123,120437,1636,692,843,704,647,728,499,618,417,795,481,503,567,700,221,304,417,462,615,790,429
105Q4,236634,735,96.98,612083,193022,163667,140164,165724,331726,175845,190600,133728,205321,150544,123386,145558,210489,111614,92702,109155,156477,127254,191897,111998,1693,695,649,717,658,740,493,552,373,703,472,492,368,747,697,390,608,452,330,558,429
106Q1,232730,713,95.81,616523,193132,153676,142137,164680,317929,185300,189155,126041,198672,139414,125617,142847,216246,107693,95421,106401,172098,151455,193862,128514,1329,716,565,668,680,729,434,560,429,505,314,372,856,961,697,352,551,482,390,558,440
106Q2,234137,758,96.01,607005,208496,142610,142158,166254,324090,179419,187477,148110,188807,135028,130431,140482,209418,108830,97785,104878,147031,122855,210741,135883,1555,755,820,694,730,732,517,629,525,505,500,320,540,900,380,301,821,427,508,445,642
106Q3,234510,728,96.62,610261,209175,157052,146090,167228,316192,176423,182473,151035,182829,143165,133349,148633,218355,115306,112774,105759,164523,121492,190966,164500,1389,697,869,740,689,718,456,598,680,808,244,502,666,626,765,275,467,493,320,445,642
106Q4,235223,731,97.37,616852,204728,159103,149527,170313,310398,174991,188212,140827,192670,145792,126122,147862,210047,110623,106244,112842,157936,132299,192622,149072,1380,746,537,629,681,764,484,582,422,402,341,348,618,555,770,385,437,456,743,445,642
107Q1,240245,713,97.31,626167,203102,161195,152606,170403,328403,192397,195742,138626,194324,139302,136663,155275,207771,122762,106129,111614,160185,128965,209864,145100,1513,702,620,670,691,729,552,599,505,402,421,405,650,842,770,336,486,475,820,445,642
107Q2,241049,733,97.66,565136,211040,159907,161933,172545,320516,198398,190220,132637,201784,145742,139621,154768,208616,121297,100945,115715,167327,127907,181412,145246,1627,712,1325,824,683,673,673,563,452,642,317,700,597,930,391,360,710,473,668,968,383
107Q3,244015,727,98.23,636810,207019,151909,152376,168777,304724,196509,194629,138829,192336,145689,135270,156419,212458,118293,107030,113107,166363,127592,181577,155742,1740,737,761,679,660,701,652,570,411,753,424,460,664,606,606,385,541,470,584,968,383
107Q4,246473,722,97.82,640461,211749,145959,153102,175246,319146,195840,189393,136794,190564,143198,137599,153999,210499,121065,110314,114148,166327,126845,169724,195848,1598,702,950,702,656,739,706,577,401,527,501,412,815,755,944,278,517,485,525,968,383
108Q1,243304,701,97.62,621951,211355,157346,158711,172596,323268,186121,189635,135875,203123,144135,142346,157931,232020,119331,115585,117731,168892,131263,199145,150463,1559,666,669,649,656,710,537,579,452,527,479,370,329,687,512,318,516,547,339,968,612
108Q2,244292,729,98.45,622120,215098,160178,159294,178225,328116,186610,191803,141545,198829,142987,141290,162399,210382,123369,106960,117196,161595,142976,192667,134100,1492,763,1575,643,698,718,464,571,541,655,350,430,573,805,512,311,518,474,596,968,500
108Q3,248069,692,98.64,634222,219752,161684,163208,176588,327359,172015,193079,156988,174086,141119,143781,164135,219715,123404,114877,116979,173694,140881,206202,135722,1410,711,562,648,662,699,504,595,459,655,416,318,557,574,669,470,646,518,397,968,500
