城市,房價,租金,月薪,房價收入比(20坪)
臺北市,812202,1655,150000,108.29
臺中市,318169,798,115000,55.33
基隆市,224720,514,98000,45.86
臺南市,264777,720,98000,54.04
高雄市,286981,739,108000,53.14
新北市,455826,926,125000,72.93
宜蘭縣,242690,545,100000,48.54
桃園市,313341,656,128000,48.96
嘉義市,235576,608,105000,44.87
新竹縣,351997,919,148000,47.57
苗栗縣,240854,627,105000,45.88
南投縣,227107,526,88000,51.62
彰化縣,233517,637,95000,49.16
新竹市,376598,904,140000,53.8
雲林縣,189154,775,90000,42.03
嘉義縣,197994,623,82000,48.29
屏東縣,200746,551,92000,43.64
花蓮縣,223548,722,90000,49.68
金門,234975,466,85000,55.29
澎湖縣,192068,1041,75000,51.22
